condition_id,family,stage,strict_accuracy,valid_only_accuracy,balanced_accuracy,accuracy_minus_always_no,always_no_accuracy,always_yes_accuracy,balanced_accuracy_minus_chance,beats_always_no_strictly,binary_correct,binary_evaluable,binary_evaluable_coverage,binary_incorrect,completion_rate,completion_status,display_name,duplicate_exact_key_count,eligible_for_primary_ranking,expected_record_count,expected_records,f1_yes,false_negative_rate,false_positive_rate,fn,fp,generation,invalid_prediction_count,invalid_prediction_rate,is_complete,majority_class_accuracy,majority_class_label,missing_prediction_count,missing_prediction_rate,missing_records,negative_predictive_value,negative_stage_contrast_note,no_prediction_rate,no_rate_among_valid_predictions,precision_yes,prediction_no,prediction_unknown,prediction_yes,sensitivity,similar_minus_unrelated_balanced_accuracy,similar_minus_unrelated_strict_accuracy,similar_minus_unrelated_valid_only_accuracy,specificity,stage_record_counts.Round 1: True Tag,stage_record_counts.Round 2: Unrelated Tag,stage_record_counts.Round 3: Similar Tag,strict_accuracy_confidence_interval_95,strict_false_negative_or_unresolved_rate,strict_false_positive_or_unresolved_rate,strict_sensitivity,strict_specificity,tn,total,tp,truth_no,truth_yes,unique_exact_key_count,unique_stage_pmid_count,unknown_handling,unknown_prediction_count,unknown_prediction_rate,unresolved_prediction,unresolved_truth_no,unresolved_truth_yes,unresolved_with_valid_truth,valid_binary_evaluable_count,valid_only_accuracy_confidence_interval_95,valid_only_balanced_accuracy,valid_prediction_count,valid_prediction_coverage,variant,yes_prediction_rate,yes_rate_among_valid_predictions
asymmetric_titleonly.baseline,baseline,Round 1: True Tag,0.6,0.6,,0.6,0.0,1.0,,True,600,1000,1.0,400,1.0,complete,Title-only asymmetric — baseline,0,True,1000,3000,0.7499999999999999,0.4,,400,,asymmetric_titleonly,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.4,0.4,1.0,400,,600,0.6,,-0.135,-0.135,,1000,1000,1000,"[0.5693094295142662, 0.6299252187886226]",0.4,,0.6,,,1000,600,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.5693094295142662, 0.6299252187886226]",,1000,1.0,,0.6,0.6
asymmetric_titleonly.baseline,baseline,Round 2: Unrelated Tag,0.93,0.93,,-0.06999999999999995,1.0,0.0,,False,930,1000,1.0,70,1.0,complete,Title-only asymmetric — baseline,0,True,1000,3000,,,0.07,,70,asymmetric_titleonly,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.93,0.93,0.0,930,,70,,,-0.135,-0.135,0.93,1000,1000,1000,"[0.9124853518487167, 0.9442236358537061]",,0.06999999999999995,,0.93,930,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.9124853518487167, 0.9442236358537061]",,1000,1.0,,0.07,0.07
asymmetric_titleonly.baseline,baseline,Round 3: Similar Tag,0.795,0.795,,-0.20499999999999996,1.0,0.0,,False,795,1000,1.0,205,1.0,complete,Title-only asymmetric — baseline,0,True,1000,3000,,,0.205,,205,asymmetric_titleonly,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.795,0.795,0.0,795,,205,,,-0.135,-0.135,0.795,1000,1000,1000,"[0.7688722989694241, 0.8188699135240984]",,0.20499999999999996,,0.795,795,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.7688722989694241, 0.8188699135240984]",,1000,1.0,,0.205,0.205
asymmetric_titleonly.interactive.ABA,interactive,Round 1: True Tag,0.56,0.56,,0.56,0.0,1.0,,True,560,1000,1.0,440,1.0,complete,Title-only asymmetric — interactive ABA,0,True,1000,3000,0.717948717948718,0.44,,440,,asymmetric_titleonly,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.44,0.44,1.0,440,,560,0.56,,-0.052999999999999936,-0.052999999999999936,,1000,1000,1000,"[0.5290626428712739, 0.5904781461104596]",0.43999999999999995,,0.56,,,1000,560,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.5290626428712739, 0.5904781461104596]",,1000,1.0,ABA,0.56,0.56
asymmetric_titleonly.interactive.ABA,interactive,Round 2: Unrelated Tag,0.832,0.832,,-0.16800000000000004,1.0,0.0,,False,832,1000,1.0,168,1.0,complete,Title-only asymmetric — interactive ABA,0,True,1000,3000,,,0.168,,168,asymmetric_titleonly,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.832,0.832,0.0,832,,168,,,-0.052999999999999936,-0.052999999999999936,0.832,1000,1000,1000,"[0.8075669791195391, 0.8538920532460522]",,0.16800000000000004,,0.832,832,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.8075669791195391, 0.8538920532460522]",,1000,1.0,ABA,0.168,0.168
asymmetric_titleonly.interactive.ABA,interactive,Round 3: Similar Tag,0.779,0.779,,-0.22099999999999997,1.0,0.0,,False,779,1000,1.0,221,1.0,complete,Title-only asymmetric — interactive ABA,0,True,1000,3000,,,0.221,,221,asymmetric_titleonly,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.779,0.779,0.0,779,,221,,,-0.052999999999999936,-0.052999999999999936,0.779,1000,1000,1000,"[0.7522428263299143, 0.803621842435146]",,0.22099999999999997,,0.779,779,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.7522428263299143, 0.803621842435146]",,1000,1.0,ABA,0.221,0.221
asymmetric_titleonly.statement,statement,Round 1: True Tag,0.6,0.6,,0.6,0.0,1.0,,True,600,1000,1.0,400,1.0,complete,Title-only asymmetric — statements,0,True,1000,3000,0.7499999999999999,0.4,,400,,asymmetric_titleonly,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.4,0.4,1.0,400,,600,0.6,,-0.07699999999999996,-0.07699999999999996,,1000,1000,1000,"[0.5693094295142662, 0.6299252187886226]",0.4,,0.6,,,1000,600,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.5693094295142662, 0.6299252187886226]",,1000,1.0,independent_statements,0.6,0.6
asymmetric_titleonly.statement,statement,Round 2: Unrelated Tag,0.888,0.888,,-0.11199999999999999,1.0,0.0,,False,888,1000,1.0,112,1.0,complete,Title-only asymmetric — statements,0,True,1000,3000,,,0.112,,112,asymmetric_titleonly,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.888,0.888,0.0,888,,112,,,-0.07699999999999996,-0.07699999999999996,0.888,1000,1000,1000,"[0.8669499763240903, 0.906080459091119]",,0.11199999999999999,,0.888,888,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.8669499763240903, 0.906080459091119]",,1000,1.0,independent_statements,0.112,0.112
asymmetric_titleonly.statement,statement,Round 3: Similar Tag,0.811,0.811,,-0.18899999999999995,1.0,0.0,,False,811,1000,1.0,189,1.0,complete,Title-only asymmetric — statements,0,True,1000,3000,,,0.189,,189,asymmetric_titleonly,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.811,0.811,0.0,811,,189,,,-0.07699999999999996,-0.07699999999999996,0.811,1000,1000,1000,"[0.7855616182967687, 0.8340581379252162]",,0.18899999999999995,,0.811,811,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.7855616182967687, 0.8340581379252162]",,1000,1.0,independent_statements,0.189,0.189
baseline.legacy_0.8B,baseline,Round 1: True Tag,0.307,0.575984990619137,,0.307,0.0,1.0,,True,307,533,0.533,226,0.3963333333333333,partial_or_invalid,Baseline 0.8B — legacy,0,False,1000,3000,0.730952380952381,0.42401500938086306,,226,,legacy,0,0.0,False,1.0,Yes,0,0.0,1811,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.226,0.42401500938086306,1.0,226,467,307,0.575984990619137,,,,,1000,189,,"[0.27919575142340997, 0.3362813773520143]",0.6930000000000001,,0.307,,,1000,307,,1000,1189,1189,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,467,0.467,467,,467,467,533,"[0.5336334017164366, 0.6172491329110803]",,533,0.533,,0.307,0.575984990619137
baseline.legacy_0.8B,baseline,Round 2: Unrelated Tag,0.8835978835978836,0.9823529411764705,,-0.1164021164021164,1.0,0.0,,False,167,170,0.8994708994708994,3,0.3963333333333333,partial_or_invalid,Baseline 0.8B — legacy,0,False,1000,3000,,,0.01764705882352941,,3,legacy,0,0.0,False,1.0,No,0,0.0,1811,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.8835978835978836,0.9823529411764705,0.0,167,19,3,,,,,0.9823529411764705,1000,189,,"[0.830051749306066, 0.9218612515949614]",,0.1164021164021164,,0.8835978835978836,167,189,,189,,1189,1189,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,19,0.10052910052910052,19,19,,19,170,"[0.9494077520056105, 0.9939805577367452]",,170,0.8994708994708994,,0.015873015873015872,0.01764705882352941
baseline.legacy_0.8B,baseline,Round 3: Similar Tag,,,,,,,,,0,0,,0,0.3963333333333333,partial_or_invalid,Baseline 0.8B — legacy,0,False,1000,3000,,,,,,legacy,0,,False,,No,0,,1811,,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,,,,,,,,,,,,1000,189,,,,,,,,,,,,1189,1189,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,,0,,,,0,,,0,,,,
baseline.older_pydantic_0.8B,baseline,Round 1: True Tag,0.732,0.732,,0.732,0.0,1.0,,True,732,1000,1.0,268,1.0,complete,Baseline 0.8B — older Pydantic,0,True,1000,3000,0.8452655889145496,0.268,,268,,older_pydantic,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.268,0.268,1.0,268,,732,0.732,,-0.132,-0.132,,1000,1000,1000,"[0.7036985754211434, 0.758525808641559]",0.268,,0.732,,,1000,732,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.7036985754211434, 0.758525808641559]",,1000,1.0,,0.732,0.732
