condition_id,total_records,argmax_confidence_ece,brier_score,complete_all_framings_count,confidence_provenance,coverage,coverage_within_scope,display_name,eligible_count,expected_calibration_error,fallback_circularity_warning,fallback_rate_among_known,framing,generated_high_confidence_count,generated_high_confidence_error_count,generated_high_confidence_error_rate,generated_prediction_agreement_count,generated_prediction_agreement_eligible,generated_prediction_agreement_rate,high_confidence_count,high_confidence_error_count,high_confidence_error_rate,high_confidence_threshold,interpretation_note,mean_argmax_confidence_correct,mean_argmax_confidence_error,mean_generated_label_confidence_correct,mean_generated_label_confidence_error,negative_log_likelihood,probability_field,roc_auc,scope,scope_record_count,status,threshold_accuracy,threshold_accuracy_confidence_interval_95,threshold_correct_count
asymmetric_titleonly.baseline,3000,,,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,,Title-only asymmetric — baseline,,,,,,,,,,,,,,,,,,,,,,,,all,,not_applicable_no_confidence_fields,,,
asymmetric_titleonly.interactive.ABA,3000,,,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,,Title-only asymmetric — interactive ABA,,,,,,,,,,,,,,,,,,,,,,,,all,,not_applicable_no_confidence_fields,,,
asymmetric_titleonly.statement,3000,,,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,,Title-only asymmetric — statements,,,,,,,,,,,,,,,,,,,,,,,,all,,not_applicable_no_confidence_fields,,,
baseline.legacy_0.8B,1189,,,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,,Baseline 0.8B — legacy,,,,,,,,,,,,,,,,,,,,,,,,all,,not_applicable_no_confidence_fields,,,
baseline.older_pydantic_0.8B,3000,,,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,,Baseline 0.8B — older Pydantic,,,,,,,,,,,,,,,,,,,,,,,,all,,not_applicable_no_confidence_fields,,,
baseline.robust_0.8B.no_manual,3000,0.623540348185209,0.6040662070719703,0,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,1.0,,Baseline 0.8B — no manual,3000,0.623540348185209,,0.0,yes_no,1037,268,0.25843780135004824,1038,3000,0.346,2962,1962,0.662390276839973,0.9,,0.9678532021496599,0.9513839212029837,0.3330612746691934,0.5351356538585815,2.0761233124502803,verdict_prob_belongs,0.780102,all,,computed,0.3333333333333333,"[0.31668723296274204, 0.3504057166123665]",1000
baseline.robust_0.8B.no_manual,3000,0.295747127403957,0.2913910477862948,0,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,1.0,,Baseline 0.8B — no manual,3000,0.295747127403957,,0.0,true_false,0,0,,1118,3000,0.37266666666666665,0,0,,0.9,,0.6519499942854833,0.6182120604718433,0.4788762682426728,0.5179423693305396,0.778665360170951,boolean_prob_true,0.7258045,all,,computed,0.36133333333333334,"[0.34433063917398693, 0.37869069487250345]",1084
baseline.robust_0.8B.no_manual,,0.623540348185209,0.6040662070719703,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,1.0,Baseline 0.8B — no manual,3000,0.623540348185209,False,,yes_no,,,,1038,3000,0.346,,,,,,,,,,2.0761233124502803,verdict_prob_belongs,0.780102,non_fallback,3000,computed,0.3333333333333333,,
baseline.robust_0.8B.no_manual,,0.295747127403957,0.2913910477862948,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,1.0,Baseline 0.8B — no manual,3000,0.295747127403957,False,,true_false,,,,1118,3000,0.37266666666666665,,,,,,,,,,0.778665360170951,boolean_prob_true,0.7258045,non_fallback,3000,computed,0.36133333333333334,,
baseline.robust_0.8B.with_manual,3000,0.6341736993004579,0.6206705302479726,0,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,1.0,,Baseline 0.8B — with manual,3000,0.6341736993004579,,0.0,yes_no,887,241,0.2717023675310034,887,3000,0.2956666666666667,2999,1999,0.6665555185061687,0.9,,0.9732261461959562,0.9646474758527088,0.2879097249748491,0.40922973793945144,2.257625069203643,verdict_prob_belongs,0.79440475,all,,computed,0.3333333333333333,"[0.31668723296274204, 0.3504057166123665]",1000
baseline.robust_0.8B.with_manual,3000,0.14684983962932793,0.23334461223000272,0,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,1.0,,Baseline 0.8B — with manual,3000,0.14684983962932796,,0.0,true_false,0,0,,1965,3000,0.655,0,0,,0.9,,0.5448108982682149,0.5289864324511522,0.5241931236170789,0.5015861771880468,0.659538606665404,boolean_prob_true,0.6770555,all,,computed,0.6513333333333333,"[0.6340968631526465, 0.6681827386331549]",1954
baseline.robust_0.8B.with_manual,,0.6341736993004579,0.6206705302479726,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,1.0,Baseline 0.8B — with manual,3000,0.6341736993004579,False,,yes_no,,,,887,3000,0.2956666666666667,,,,,,,,,,2.257625069203643,verdict_prob_belongs,0.79440475,non_fallback,3000,computed,0.3333333333333333,,
baseline.robust_0.8B.with_manual,,0.14684983962932793,0.23334461223000272,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,1.0,Baseline 0.8B — with manual,3000,0.14684983962932796,False,,true_false,,,,1965,3000,0.655,,,,,,,,,,0.659538606665404,boolean_prob_true,0.6770555,non_fallback,3000,computed,0.6513333333333333,,
baseline.robust_2B.no_manual,3000,0.21122595575828515,0.21039505728458627,0,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,1.0,,Baseline 2B — no manual,3000,0.21122595575828515,,0.0,yes_no,1657,97,0.058539529269764634,1959,3000,0.653,1802,170,0.09433962264150944,0.9,,0.9264243892069344,0.7803047963669308,0.7202970833633227,0.4672181083356037,0.6063387676884782,verdict_prob_belongs,0.8918755,all,,computed,0.6736666666666666,"[0.6566758140102426, 0.6902133325324941]",2021
baseline.robust_2B.no_manual,3000,0.2805420895280092,0.26930675707163915,0,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,1.0,,Baseline 2B — no manual,3000,0.2805420895280092,,0.0,true_false,51,6,0.11764705882352941,1665,3000,0.555,65,18,0.27692307692307694,0.9,,0.68141084815562,0.6542314166513548,0.5335491189708682,0.560121527418227,0.7427576467796613,boolean_prob_true,0.73603375,all,,computed,0.523,"[0.5051089926111603, 0.5408321803474747]",1569
baseline.robust_2B.no_manual,,0.21122595575828515,0.21039505728458627,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,1.0,Baseline 2B — no manual,3000,0.21122595575828515,False,,yes_no,,,,1959,3000,0.653,,,,,,,,,,0.6063387676884782,verdict_prob_belongs,0.8918755,non_fallback,3000,computed,0.6736666666666666,,
baseline.robust_2B.no_manual,,0.2805420895280092,0.26930675707163915,,Teacher-forced continuation scores from separate follow-up prompt framings; they are not probabilities extracted from the original generated explanation.,,1.0,Baseline 2B — no manual,3000,0.2805420895280092,False,,true_false,,,,1665,3000,0.555,,,,,,,,,,0.7427576467796613,boolean_prob_true,0.73603375,non_fallback,3000,computed,0.523,,
