condition_id,family,argument_text_coverage,assigned_tags_in_debater_prompt,assigned_tags_in_judge_prompt,completion_rate,completion_status,confidence_available,confidence_coverage,debater_model,display_name,duplicate_exact_key_count,eligible_for_primary_ranking,expected_records,fallback_behavior,fallback_count,fallback_field_available,fallback_rate_among_known,generation,invalid_prediction_count,is_complete,judge_input_scope,judge_model,limitations,manual_in_judge_prompt,missing_prediction_count,missing_records,parser_type,prediction_paths,provenance_status,row_count,side_mapping_coverage,source_files,stage_record_counts.Round 1: True Tag,stage_record_counts.Round 2: Unrelated Tag,stage_record_counts.Round 3: Similar Tag,unique_exact_key_count,unique_stage_pmid_count,unknown_prediction_count,valid_prediction_count,valid_prediction_rate,variant
asymmetric_titleonly.baseline,baseline,0.0,,True,1.0,complete,False,0.0,,Title-only asymmetric — baseline,0,True,3000,,0,False,,asymmetric_titleonly,0,True,title_only,./Qwen3.5-0.8B,[],,0,0,,"[""model_prediction""]",inferred_without_source_script,3000,0.0,"[""asymmetric_titleonly_baseline_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,
asymmetric_titleonly.interactive.ABA,interactive,1.0,,,1.0,complete,False,0.0,./Qwen3.5-2B,Title-only asymmetric — interactive ABA,0,True,3000,,0,False,,asymmetric_titleonly,0,True,title_only,./Qwen3.5-0.8B,"[""The opening speaker is also the closing/two-turn speaker within this order.""]",,0,0,,"[""model_prediction""]",inferred_without_source_script,3000,1.0,"[""asymmetric_titleonly_interactive_aba_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,ABA
asymmetric_titleonly.statement,statement,1.0,,,1.0,complete,False,0.0,./Qwen3.5-2B,Title-only asymmetric — statements,0,True,3000,,0,False,,asymmetric_titleonly,0,True,title_only,./Qwen3.5-0.8B,[],,0,0,,"[""model_prediction""]",inferred_without_source_script,3000,1.0,"[""asymmetric_titleonly_statement_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,independent_statements
baseline.legacy_0.8B,baseline,0.0,True,True,0.3963333333333333,partial_or_invalid,False,0.0,,Baseline 0.8B — legacy,0,False,3000,no log-probability fallback,0,False,,legacy,0,False,standard_experiment_input,./Qwen3.5-0.8B,"[""Cross-generation comparisons change multiple implementation factors.""]",True,0,1811,free-text answer parsing with retries,"[""model_prediction""]",conflicting,1189,0.0,"[""baseline_results_merged.json""]",1000,189,,1189,1189,486,703,0.5912531539108494,
baseline.older_pydantic_0.8B,baseline,0.0,True,True,1.0,complete,False,0.0,,Baseline 0.8B — older Pydantic,0,True,3000,no guaranteed log-probability fallback,0,False,,older_pydantic,0,True,standard_experiment_input,./Qwen3.5-0.8B,"[""Cross-generation comparisons change multiple implementation factors.""]",True,0,0,Pydantic JSON parsing with retries,"[""model_prediction""]",conflicting,3000,0.0,"[""pydantic_baseline_results_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,
baseline.robust_0.8B.no_manual,baseline,0.0,,True,1.0,complete,True,1.0,,Baseline 0.8B — no manual,0,True,3000,log-probability fallback available,0,True,0.0,robust_0.8B,0,True,standard_experiment_input,./Qwen3.5-0.8B,[],False,0,0,structured Yes/No output with log-probability fallback,"[""prediction""]",conflicting,3000,0.0,"[""baseline_nomanual_results_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,
baseline.robust_0.8B.with_manual,baseline,0.0,,True,1.0,complete,True,1.0,,Baseline 0.8B — with manual,0,True,3000,log-probability fallback available,0,True,0.0,robust_0.8B,0,True,standard_experiment_input,./Qwen3.5-0.8B,[],True,0,0,structured Yes/No output with log-probability fallback,"[""prediction""]",conflicting,3000,0.0,"[""baseline_withmanual_results_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,
baseline.robust_2B.no_manual,baseline,0.0,False,False,1.0,complete,True,1.0,,Baseline 2B — no manual,0,True,3000,log-probability fallback available,0,True,0.0,rejudge_2B,0,True,standard_experiment_input,Qwen3.5-2B,[],False,0,0,structured Yes/No output with log-probability fallback,"[""prediction""]",conflicting,3000,0.0,"[""baseline_nomanual_results_rejudge2B_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,
baseline.robust_2B.with_manual,baseline,0.0,False,False,1.0,complete,True,1.0,,Baseline 2B — with manual,0,True,3000,log-probability fallback available,0,True,0.0,rejudge_2B,0,True,standard_experiment_input,Qwen3.5-2B,[],True,0,0,structured Yes/No output with log-probability fallback,"[""prediction""]",conflicting,3000,0.0,"[""baseline_withmanual_results_rejudge2B_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,
baseline.robust_4B.no_manual,baseline,0.0,,True,1.0,complete,True,1.0,,Baseline 4B — no manual,0,True,3000,,1102,True,0.36733333333333335,rejudge_4B,0,True,standard_experiment_input,Qwen3.5-4B,[],False,0,0,,"[""prediction""]",inferred_without_source_script,3000,0.0,"[""baseline_nomanual_results_rejudge4B_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,
baseline.robust_4B.with_manual,baseline,0.0,,True,1.0,complete,True,1.0,,Baseline 4B — with manual,0,True,3000,,2361,True,0.787,rejudge_4B,0,True,standard_experiment_input,Qwen3.5-4B,[],True,0,0,,"[""prediction""]",inferred_without_source_script,3000,0.0,"[""baseline_withmanual_results_rejudge4B_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,
interactive.legacy_0.8B.ABA,interactive,1.0,True,True,0.407,partial_or_invalid,False,0.0,./Qwen3.5-2B,Interactive ABA — legacy,0,False,3000,no log-probability fallback,0,False,,legacy,0,False,standard_experiment_input,./Qwen3.5-0.8B,"[""Cross-generation comparisons change multiple implementation factors."", ""The opening speaker is also the closing/two-turn speaker within this order.""]",True,0,1779,free-text answer parsing with retries,"[""model_prediction""]",conflicting,1221,1.0,"[""interactive_results_merged.json""]",1000,221,,1221,1221,991,230,0.18837018837018837,ABA
interactive.rejudge_2B.ABA,interactive,1.0,False,False,1.0,complete,True,1.0,Qwen3.5-2B,Interactive ABA — rejudged by 2B,0,True,3000,log-probability fallback available,0,True,0.0,rejudge_2B,0,True,standard_experiment_input,Qwen3.5-2B,"[""The opening speaker is also the closing/two-turn speaker within this order.""]",False,0,0,structured Yes/No output with log-probability fallback,"[""judge_ABA.prediction""]",verified_from_source_script,3000,1.0,"[""interactive_results_full_rejudge2B.json""]",1000,1000,1000,3000,3000,0,3000,1.0,ABA
interactive.rejudge_2B.BAB,interactive,1.0,False,False,1.0,complete,True,1.0,Qwen3.5-2B,Interactive BAB — rejudged by 2B,0,True,3000,log-probability fallback available,0,True,0.0,rejudge_2B,0,True,standard_experiment_input,Qwen3.5-2B,"[""The opening speaker is also the closing/two-turn speaker within this order.""]",False,0,0,structured Yes/No output with log-probability fallback,"[""judge_BAB.prediction""]",verified_from_source_script,3000,1.0,"[""interactive_results_full_rejudge2B.json""]",1000,1000,1000,3000,3000,0,3000,1.0,BAB
interactive.robust_0.8B.ABA,interactive,1.0,False,False,1.0,complete,True,1.0,./Qwen3.5-2B,Interactive ABA — 0.8B judge,0,True,3000,log-probability fallback available,2208,True,0.736,robust_0.8B,0,True,standard_experiment_input,./Qwen3.5-0.8B,"[""The opening speaker is also the closing/two-turn speaker within this order."", ""ABA and BAB transcripts were generated separately; their difference is not a pure order effect.""]",False,0,0,structured Yes/No output with log-probability fallback,"[""judge_ABA.prediction""]",conflicting,3000,1.0,"[""interactive_results_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,ABA
interactive.robust_0.8B.BAB,interactive,1.0,False,False,1.0,complete,True,1.0,./Qwen3.5-2B,Interactive BAB — 0.8B judge,0,True,3000,log-probability fallback available,1966,True,0.6553333333333333,robust_0.8B,0,True,standard_experiment_input,./Qwen3.5-0.8B,"[""The opening speaker is also the closing/two-turn speaker within this order."", ""ABA and BAB transcripts were generated separately; their difference is not a pure order effect.""]",False,0,0,structured Yes/No output with log-probability fallback,"[""judge_BAB.prediction""]",conflicting,3000,1.0,"[""interactive_results_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,BAB
interactive.robust_0.8B.BAB_swapped_labels,interactive,1.0,False,False,1.0,complete,True,1.0,./Qwen3.5-0.8B,Interactive BAB — displayed labels swapped,0,True,3000,log-probability fallback available,1990,True,0.6633333333333333,swapped_labels,0,True,standard_experiment_input,./Qwen3.5-0.8B,"[""Treat as a clean label test only after byte-level content/order verification.""]",False,0,0,structured Yes/No output with log-probability fallback,"[""judge_BAB_swapped_labels.prediction""]",conflicting,3000,1.0,"[""interactive_results_BAB_swapped_labels_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,BAB_swapped_labels
statement.legacy_0.8B,statement,1.0,True,True,0.49,partial_or_invalid,False,0.0,./Qwen3.5-2B,Statement — legacy,0,False,3000,no log-probability fallback,0,False,,legacy,0,False,standard_experiment_input,./Qwen3.5-0.8B,"[""Cross-generation comparisons change multiple implementation factors.""]",True,0,1530,free-text answer parsing with retries,"[""model_prediction""]",conflicting,1470,1.0,"[""statement_results_merged.json""]",1000,470,,1470,1470,1224,246,0.1673469387755102,independent_statements
statement.older_pydantic_0.8B,statement,1.0,True,False,1.0,complete,False,0.0,./Qwen3.5-2B,Statement — older Pydantic,0,True,3000,no guaranteed log-probability fallback,0,False,,older_pydantic,0,True,standard_experiment_input,./Qwen3.5-0.8B,"[""Cross-generation comparisons change multiple implementation factors.""]",False,0,0,Pydantic JSON parsing with retries,"[""model_prediction""]",conflicting,3000,1.0,"[""pydantic_statement_results_full.json""]",1000,1000,1000,3000,3000,129,2871,0.957,independent_statements
statement.rejudge_2B,statement,1.0,False,False,1.0,complete,True,1.0,Qwen3.5-2B,Statement — rejudged by 2B,0,True,3000,log-probability fallback available,0,True,0.0,rejudge_2B,0,True,standard_experiment_input,Qwen3.5-2B,[],False,0,0,structured Yes/No output with log-probability fallback,"[""prediction""]",verified_from_source_script,3000,1.0,"[""statement_results_full_rejudge2B.json""]",1000,1000,1000,3000,3000,0,3000,1.0,independent_statements
statement.robust_0.8B,statement,1.0,False,False,1.0,complete,True,1.0,./Qwen3.5-2B,Statement — 0.8B judge,0,True,3000,log-probability fallback available,896,True,0.2986666666666667,robust_0.8B,0,True,standard_experiment_input,./Qwen3.5-0.8B,[],False,0,0,structured Yes/No output with log-probability fallback,"[""prediction""]",conflicting,3000,1.0,"[""statement_results_full.json""]",1000,1000,1000,3000,3000,0,3000,1.0,independent_statements
