condition_id,family,strict_accuracy,valid_only_accuracy,balanced_accuracy,accuracy_minus_always_no,always_no_accuracy,always_yes_accuracy,assigned_tags_in_judge_prompt,balanced_accuracy_minus_chance,beats_always_no_strictly,binary_correct,binary_evaluable,binary_evaluable_coverage,binary_incorrect,completion_rate,completion_status,debater_model,direct_parse_accuracy,direct_parse_count,display_name,duplicate_exact_key_count,eligible_for_primary_ranking,expected_records,f1_yes,fallback_accuracy,fallback_count,fallback_rate_among_known,false_negative_rate,false_positive_rate,fn,fp,generation,invalid_prediction_count,invalid_prediction_rate,is_complete,judge_input_scope,judge_model,majority_class_accuracy,majority_class_label,manual_in_judge_prompt,metric_status,missing_prediction_count,missing_prediction_rate,missing_records,negative_predictive_value,no_prediction_rate,no_rate_among_valid_predictions,precision_yes,prediction_no,prediction_unknown,prediction_yes,sensitivity,source_files,specificity,stage_record_counts.Round 1: True Tag,stage_record_counts.Round 2: Unrelated Tag,stage_record_counts.Round 3: Similar Tag,strict_accuracy_confidence_interval_95,strict_false_negative_or_unresolved_rate,strict_false_positive_or_unresolved_rate,strict_sensitivity,strict_specificity,tn,total,tp,truth_no,truth_yes,unique_exact_key_count,unique_stage_pmid_count,unknown_handling,unknown_prediction_count,unknown_prediction_rate,unresolved_prediction,unresolved_truth_no,unresolved_truth_yes,unresolved_with_valid_truth,valid_binary_evaluable_count,valid_only_accuracy_confidence_interval_95,valid_only_balanced_accuracy,valid_prediction_count,valid_prediction_coverage,variant,yes_prediction_rate,yes_rate_among_valid_predictions
asymmetric_titleonly.baseline,baseline,0.775,0.775,0.73125,0.10833333333333339,0.6666666666666666,0.3333333333333333,True,0.23124999999999996,True,2325,3000,1.0,675,1.0,complete,,,0,Title-only asymmetric — baseline,0,True,3000,0.64,,0,,0.4,0.1375,400,275,asymmetric_titleonly,0,0.0,True,title_only,./Qwen3.5-0.8B,0.6666666666666666,No,,computed,0,0.0,0,0.8117647058823529,0.7083333333333334,0.7083333333333334,0.6857142857142857,2125,,875,0.6,"[""asymmetric_titleonly_baseline_full.json""]",0.8625,1000,1000,1000,"[0.7597110167209663, 0.7895856164801044]",0.4,0.13749999999999996,0.6,0.8625,1725,3000,600,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.7597110167209663, 0.7895856164801044]",0.73125,3000,1.0,,0.2916666666666667,0.2916666666666667
asymmetric_titleonly.interactive.ABA,interactive,0.7236666666666667,0.7236666666666667,0.68275,0.05700000000000005,0.6666666666666666,0.3333333333333333,,0.18274999999999997,True,2171,3000,1.0,829,1.0,complete,./Qwen3.5-2B,,0,Title-only asymmetric — interactive ABA,0,True,3000,0.5746536685479734,,0,,0.44,0.1945,440,389,asymmetric_titleonly,0,0.0,True,title_only,./Qwen3.5-0.8B,0.6666666666666666,No,,computed,0,0.0,0,0.7854705021940517,0.6836666666666666,0.6836666666666666,0.5900948366701791,2051,,949,0.56,"[""asymmetric_titleonly_interactive_aba_full.json""]",0.8055,1000,1000,1000,"[0.7073863407028345, 0.7393749209673697]",0.43999999999999995,0.1945,0.56,0.8055,1611,3000,560,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.7073863407028345, 0.7393749209673697]",0.68275,3000,1.0,ABA,0.31633333333333336,0.31633333333333336
asymmetric_titleonly.statement,statement,0.7663333333333333,0.7663333333333333,0.72475,0.09966666666666668,0.6666666666666666,0.3333333333333333,,0.22475,True,2299,3000,1.0,701,1.0,complete,./Qwen3.5-2B,,0,Title-only asymmetric — statements,0,True,3000,0.631246712256707,,0,,0.4,0.1505,400,301,asymmetric_titleonly,0,0.0,True,title_only,./Qwen3.5-0.8B,0.6666666666666666,No,,computed,0,0.0,0,0.8094330633635064,0.6996666666666667,0.6996666666666667,0.6659267480577137,2099,,901,0.6,"[""asymmetric_titleonly_statement_full.json""]",0.8495,1000,1000,1000,"[0.7508561866321227, 0.7811292799468535]",0.4,0.15049999999999997,0.6,0.8495,1699,3000,600,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.7508561866321227, 0.7811292799468535]",0.72475,3000,1.0,independent_statements,0.30033333333333334,0.30033333333333334
baseline.legacy_0.8B,baseline,0.3986543313708999,0.6742532005689901,0.5952989417989418,0.23969722455845247,0.15895710681244743,0.8410428931875525,True,0.09529894179894183,True,474,703,0.5912531539108494,229,0.3963333333333333,partial_or_invalid,,,0,Baseline 0.8B — legacy,0,False,3000,0.7283511269276394,,0,,0.42401500938086306,0.01764705882352941,226,3,legacy,0,0.0,False,standard_experiment_input,./Qwen3.5-0.8B,0.8410428931875525,Yes,True,computed,0,0.0,1811,0.42493638676844786,0.33052985702270815,0.5590327169274538,0.9903225806451613,393,486,310,0.575984990619137,"[""baseline_results_merged.json""]",0.9823529411764705,1000,189,,"[0.3711933645287102, 0.4267680508648617]",0.6930000000000001,0.1164021164021164,0.307,0.8835978835978836,167,1189,307,189,1000,1189,1189,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,486,0.4087468460891506,486,19,467,486,703,"[0.6387439594969937, 0.7078684200439036]",0.7791689658978038,703,0.5912531539108494,,0.2607232968881413,0.44096728307254623
baseline.older_pydantic_0.8B,baseline,0.8013333333333333,0.8013333333333333,0.784,0.1346666666666667,0.6666666666666666,0.3333333333333333,True,0.28400000000000003,True,2404,3000,1.0,596,1.0,complete,,,0,Baseline 0.8B — older Pydantic,0,True,3000,0.7106796116504854,,0,,0.268,0.164,268,328,older_pydantic,0,0.0,True,standard_experiment_input,./Qwen3.5-0.8B,0.6666666666666666,No,True,computed,0,0.0,0,0.8618556701030928,0.6466666666666666,0.6466666666666666,0.690566037735849,1940,,1060,0.732,"[""pydantic_baseline_results_full.json""]",0.836,1000,1000,1000,"[0.7866742583809959, 0.8152216887872076]",0.268,0.16400000000000003,0.732,0.836,1672,3000,732,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.7866742583809959, 0.8152216887872076]",0.784,3000,1.0,,0.35333333333333333,0.35333333333333333
baseline.robust_0.8B.no_manual,baseline,0.8333333333333334,0.8333333333333334,0.81725,0.16666666666666674,0.6666666666666666,0.3333333333333333,True,0.31725000000000003,True,2500,3000,1.0,500,1.0,complete,,0.8333333333333334,3000,Baseline 0.8B — no manual,0,True,3000,0.7546614327772326,,0,0.0,0.231,0.1345,231,269,robust_0.8B,0,0.0,True,standard_experiment_input,./Qwen3.5-0.8B,0.6666666666666666,No,False,computed,0,0.0,0,0.882262996941896,0.654,0.654,0.7408477842003853,1962,,1038,0.769,"[""baseline_nomanual_results_full.json""]",0.8655,1000,1000,1000,"[0.8195728989469936, 0.8462412019027893]",0.23099999999999998,0.13449999999999995,0.769,0.8655,1731,3000,769,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.8195728989469936, 0.8462412019027893]",0.81725,3000,1.0,,0.346,0.346
baseline.robust_0.8B.with_manual,baseline,0.8016666666666666,0.8016666666666666,0.76275,0.135,0.6666666666666666,0.3333333333333333,True,0.26275000000000004,True,2405,3000,1.0,595,1.0,complete,,0.8016666666666666,3000,Baseline 0.8B — with manual,0,True,3000,0.6846846846846847,,0,0.0,0.354,0.1205,354,241,robust_0.8B,0,0.0,True,standard_experiment_input,./Qwen3.5-0.8B,0.6666666666666666,No,True,computed,0,0.0,0,0.8324656885944155,0.7043333333333334,0.7043333333333334,0.7282976324689966,2113,,887,0.646,"[""baseline_withmanual_results_full.json""]",0.8795,1000,1000,1000,"[0.7870161610147145, 0.8155456002543388]",0.354,0.12050000000000005,0.646,0.8795,1759,3000,646,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.7870161610147145, 0.8155456002543388]",0.76275,3000,1.0,,0.2956666666666667,0.2956666666666667
baseline.robust_2B.no_manual,baseline,0.8693333333333333,0.8693333333333333,0.86125,0.20266666666666666,0.6666666666666666,0.3333333333333333,False,0.36124999999999996,True,2608,3000,1.0,392,1.0,complete,,0.8693333333333333,3000,Baseline 2B — no manual,0,True,3000,0.8102613746369797,,0,0.0,0.163,0.1145,163,229,rejudge_2B,0,0.0,True,standard_experiment_input,Qwen3.5-2B,0.6666666666666666,No,False,computed,0,0.0,0,0.9157187176835574,0.6446666666666667,0.6446666666666667,0.7851782363977486,1934,,1066,0.837,"[""baseline_nomanual_results_rejudge2B_full.json""]",0.8855,1000,1000,1000,"[0.8567990382045159, 0.8809229855370433]",0.16300000000000003,0.11450000000000005,0.837,0.8855,1771,3000,837,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.8567990382045159, 0.8809229855370433]",0.86125,3000,1.0,,0.35533333333333333,0.35533333333333333
baseline.robust_2B.with_manual,baseline,0.85,0.85,0.83275,0.18333333333333335,0.6666666666666666,0.3333333333333333,False,0.33275,True,2550,3000,1.0,450,1.0,complete,,0.85,3000,Baseline 2B — with manual,0,True,3000,0.7763419483101391,,0,0.0,0.219,0.1155,219,231,rejudge_2B,0,0.0,True,standard_experiment_input,Qwen3.5-2B,0.6666666666666666,No,True,computed,0,0.0,0,0.8898390342052314,0.6626666666666666,0.6626666666666666,0.7717391304347826,1988,,1012,0.781,"[""baseline_withmanual_results_rejudge2B_full.json""]",0.8845,1000,1000,1000,"[0.8367753314662666, 0.8623294744260052]",0.21899999999999997,0.11550000000000005,0.781,0.8845,1769,3000,781,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.8367753314662666, 0.8623294744260052]",0.83275,3000,1.0,,0.3373333333333333,0.3373333333333333
baseline.robust_4B.no_manual,baseline,0.8033333333333333,0.8033333333333333,0.83925,0.13666666666666671,0.6666666666666666,0.3333333333333333,True,0.33925000000000005,True,2410,3000,1.0,590,1.0,complete,,0.9615384615384616,1898,Baseline 4B — no manual,0,True,3000,0.7624798711755234,0.530852994555354,1102,0.36733333333333335,0.053,0.2685,53,537,rejudge_4B,0,0.0,True,standard_experiment_input,Qwen3.5-4B,0.6666666666666666,No,False,computed,0,0.0,0,0.9650395778364116,0.5053333333333333,0.5053333333333333,0.6381401617250674,1516,,1484,0.947,"[""baseline_nomanual_results_rejudge4B_full.json""]",0.7315,1000,1000,1000,"[0.788725909245538, 0.8171649225277643]",0.05300000000000005,0.26849999999999996,0.947,0.7315,1463,3000,947,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.788725909245538, 0.8171649225277643]",0.83925,3000,1.0,,0.49466666666666664,0.49466666666666664
