condition_id,by_stage,definition,direct_parse_count,direct_parse_metrics.balanced_accuracy,direct_parse_metrics.records,direct_parse_metrics.strict_accuracy,direct_parse_metrics.unknown_predictions,direct_parse_metrics.valid_only_accuracy,display_name,fallback_count,fallback_known_records,fallback_metrics.balanced_accuracy,fallback_metrics.records,fallback_metrics.strict_accuracy,fallback_metrics.unknown_predictions,fallback_metrics.valid_only_accuracy,fallback_rate_all_records,fallback_rate_among_known,fallback_unknown_count,records
asymmetric_titleonly.baseline,"[{""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",0,,0,,0,,Title-only asymmetric — baseline,0,0,,0,,0,,0.0,,3000,3000
asymmetric_titleonly.interactive.ABA,"[{""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",0,,0,,0,,Title-only asymmetric — interactive ABA,0,0,,0,,0,,0.0,,3000,3000
asymmetric_titleonly.statement,"[{""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",0,,0,,0,,Title-only asymmetric — statements,0,0,,0,,0,,0.0,,3000,3000
baseline.legacy_0.8B,"[{""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 189, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 0, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",0,,0,,0,,Baseline 0.8B — legacy,0,0,,0,,0,,0.0,,1189,1189
baseline.older_pydantic_0.8B,"[{""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",0,,0,,0,,Baseline 0.8B — older Pydantic,0,0,,0,,0,,0.0,,3000,3000
baseline.robust_0.8B.no_manual,"[{""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",3000,0.81725,3000,0.8333333333333334,0,0.8333333333333334,Baseline 0.8B — no manual,0,3000,,0,,0,,0.0,0.0,0,3000
baseline.robust_0.8B.with_manual,"[{""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",3000,0.76275,3000,0.8016666666666666,0,0.8016666666666666,Baseline 0.8B — with manual,0,3000,,0,,0,,0.0,0.0,0,3000
baseline.robust_2B.no_manual,"[{""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",3000,0.86125,3000,0.8693333333333333,0,0.8693333333333333,Baseline 2B — no manual,0,3000,,0,,0,,0.0,0.0,0,3000
baseline.robust_2B.with_manual,"[{""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",3000,0.83275,3000,0.85,0,0.85,Baseline 2B — with manual,0,3000,,0,,0,,0.0,0.0,0,3000
baseline.robust_4B.no_manual,"[{""fallback_count"": 585, ""fallback_rate_among_known"": 0.585, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 191, ""fallback_rate_among_known"": 0.191, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 326, ""fallback_rate_among_known"": 0.326, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",1898,0.9294014899787959,1898,0.9615384615384616,0,0.9615384615384616,Baseline 4B — no manual,1102,3000,0.5,1102,0.530852994555354,0,0.530852994555354,0.36733333333333335,0.36733333333333335,0,3000
baseline.robust_4B.with_manual,"[{""fallback_count"": 968, ""fallback_rate_among_known"": 0.968, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 614, ""fallback_rate_among_known"": 0.614, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 779, ""fallback_rate_among_known"": 0.779, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",639,0.9465352141680395,639,0.9827856025039123,0,0.9827856025039123,Baseline 4B — with manual,2361,3000,0.5154780692126512,2361,0.4286319356204998,0,0.4286319356204998,0.787,0.787,0,3000
interactive.legacy_0.8B.ABA,"[{""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 221, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": null, ""records"": 0, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",0,,0,,0,,Interactive ABA — legacy,0,0,,0,,0,,0.0,,1221,1221
interactive.rejudge_2B.ABA,"[{""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 1: True Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 2: Unrelated Tag""}, {""fallback_count"": 0, ""fallback_rate_among_known"": 0.0, ""records"": 1000, ""stage"": ""Round 3: Similar Tag""}]","needed_fallback=true means the normal structured-output parser did not supply the final verdict and the evaluation recovered it using its secondary scoring/parsing path. It is a run-quality flag, not itself an error.",3000,0.72975,3000,0.7516666666666667,0,0.7516666666666667,Interactive ABA — rejudged by 2B,0,3000,,0,,0,,0.0,0.0,0,3000
